LHS,10,P1,5,2,2,4,1
LHS,10,P1,7,3,1,3,1
LHS,10,P1,9,1,1,1,1
LHS,10,P2,5,3,1,3,1
LHS,10,P2,7,3,1,3,1
LHS,10,P2,9,3,1,3,1
LHS,10,P3,5,3,1,3,1
LHS,10,P3,7,1,1,1,1
LHS,10,P3,9,4,2,1,2
LHS,10,P4,5,2,2,2,1
LHS,10,P4,7,3,1,3,1
LHS,10,P4,9,3,1,3,1
LHS,10,P5,5,2,1,4,2
LHS,10,P5,7,3,1,3,1
LHS,10,P5,9,4,2,3,1
MVNORM,10,P1,5,1,1,1,1
MVNORM,10,P1,7,3,1,3,2
MVNORM,10,P1,9,4,1,3,1
MVNORM,10,P2,5,3,1,3,2
MVNORM,10,P2,7,4,1,3,1
MVNORM,10,P2,9,4,1,3,1
MVNORM,10,P3,5,3,1,3,1
MVNORM,10,P3,7,1,1,1,1
MVNORM,10,P3,9,4,2,1,2
MVNORM,10,P4,5,2,4,2,1
MVNORM,10,P4,7,4,1,3,1
MVNORM,10,P4,9,4,1,3,1
MVNORM,10,P5,5,3,1,3,1
MVNORM,10,P5,7,3,1,4,2
MVNORM,10,P5,9,1,1,1,1